model,dataset,rewiring_strategy,rewire_all_layers,num_layers,lr,embedding_dim,hidden_dim,batch_size,avg_TR_score,std_TR_score,avg_TS_score,std_TS_score
GIN,PROTEINS,assessment_betweeness_5,,,0.01,,"[128, 128, 128, 128, 128]",64,67.68,1.7,71.04,2.77
GIN,PROTEINS,assessment_local_bridges_5,,,0.01,,"[128, 128, 128, 128, 128]",64,66.14,1.06,69.09,2.74
